,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.02,1.0,0.34,0.32,0.27,0.27,0.41,0.23,0.04,0.14,0.03,0.24,0.5,0.21,0.05,0.26,0.65,0.14,0.06,0.25,0.04,0.0,0.12,0.26,0.2,0.32,0.2
1,0.12,1.0,0.11,0.33,0.16,0.3,0.35,0.57,0.0,0.24,0.01,0.52,0.0,0.02,0.02,0.25,0.65,0.16,0.0,0.18,0.0,0.0,0.02,0.12,0.45,0.0,0.67
2,0.49,0.0,0.19,0.27,0.07,0.29,0.39,0.32,0.01,0.46,0.0,0.07,0.5,0.01,0.29,0.3,0.52,0.47,0.45,0.28,0.0,0.0,0.01,0.21,0.02,0.0,0.43
3,1.0,1.0,0.21,0.39,0.16,0.25,0.44,0.36,0.03,0.33,0.02,0.11,0.5,0.01,0.6,0.47,0.52,0.11,0.11,0.47,0.0,0.0,0.02,0.39,0.28,0.0,0.12
4,0.02,0.9,0.16,0.28,0.0,0.74,0.48,0.67,0.0,0.06,0.0,0.03,0.5,0.01,0.04,0.55,0.73,0.05,0.14,0.21,0.0,0.0,0.04,0.09,0.02,0.0,0.03
5,0.06,1.0,0.2,0.77,0.28,0.52,0.6,0.19,0.0,0.11,0.04,0.3,0.0,0.02,0.16,0.28,0.25,0.02,0.05,0.11,0.0,0.0,0.01,0.58,0.1,0.0,0.14
6,0.0,0.81,0.23,0.4,0.24,0.86,0.36,0.44,0.0,0.13,0.01,0.0,0.5,0.01,0.09,0.49,0.38,0.05,0.05,0.31,0.0,0.0,0.05,0.08,0.06,0.0,0.03
7,0.03,0.0,1.0,0.08,0.17,0.27,0.21,0.43,0.02,0.5,0.02,0.5,0.0,0.01,0.22,0.37,0.6,0.28,0.23,0.28,0.0,0.0,0.01,0.33,0.0,0.0,0.55
8,0.2,1.0,0.36,0.19,0.1,0.26,0.22,0.59,0.02,0.29,0.0,0.12,0.0,0.04,0.05,0.49,0.5,0.57,0.22,0.36,0.01,0.0,0.04,0.17,0.04,0.0,0.53
9,0.06,1.0,0.22,0.11,0.09,0.33,0.8,0.2,0.0,0.07,0.01,0.41,0.0,0.02,0.07,0.47,0.04,0.01,0.0,0.28,0.0,0.0,0.0,0.47,0.11,0.0,0.15
10,0.15,1.0,0.16,0.4,0.22,0.32,0.38,0.2,0.05,0.3,0.28,0.36,0.0,0.06,0.1,0.2,0.46,0.05,0.28,0.19,0.07,0.14,0.02,1.0,1.0,0.0,0.24
11,0.08,1.0,0.23,0.36,0.7,0.43,0.41,0.18,0.01,0.14,0.01,0.11,0.5,0.02,0.07,0.43,0.06,0.02,0.09,0.68,0.01,0.0,0.01,0.63,1.0,0.0,0.08
12,0.01,1.0,0.18,0.62,0.14,0.54,0.46,0.29,0.0,0.03,0.01,0.25,0.5,0.01,0.0,0.26,0.29,0.01,0.15,0.46,0.0,0.0,0.03,0.18,0.59,0.0,0.06
13,0.0,0.77,0.41,0.38,0.32,0.09,0.75,0.67,0.0,0.08,0.0,0.08,0.5,0.01,0.05,0.21,0.85,0.08,0.07,0.26,0.01,0.0,0.08,0.04,0.0,0.0,0.09
14,0.01,1.0,0.42,0.29,0.37,0.53,0.38,0.28,0.01,0.1,0.03,0.69,0.5,0.1,0.0,0.19,0.79,0.07,0.07,0.21,0.0,0.11,0.02,0.4,0.15,0.0,0.21
15,0.06,0.0,0.81,0.16,0.12,0.46,0.28,0.38,0.01,0.19,0.0,0.05,0.5,0.04,0.41,0.47,0.25,0.24,0.44,0.35,0.01,0.0,0.04,0.15,0.04,0.0,0.3
