,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.06,0.0,0.6,0.18,0.16,0.45,0.32,0.58,0.01,0.1,0.0,0.13,0.5,0.08,0.2,0.69,0.38,0.41,0.13,0.22,0.03,0.0,0.05,0.13,0.01,0.0,0.1
1,0.02,1.0,0.19,0.32,0.05,0.48,0.68,0.35,0.0,0.06,0.03,0.31,0.5,0.0,0.0,0.11,0.38,0.02,0.05,0.46,0.01,0.0,0.03,0.2,0.32,0.0,0.17
2,0.01,1.0,0.0,0.22,0.15,0.05,0.31,0.56,0.01,0.44,0.0,0.31,0.0,0.01,0.49,0.53,0.29,0.51,0.83,0.26,0.0,0.0,0.02,0.13,0.02,0.0,0.31
3,0.07,0.98,0.78,0.33,0.26,0.29,0.3,0.2,0.0,0.09,0.0,0.11,0.5,0.01,0.0,0.55,0.77,0.34,0.47,0.33,0.0,0.0,0.06,0.04,0.01,0.0,0.11
4,0.02,1.0,0.6,0.27,0.15,0.15,0.35,0.33,0.0,0.07,0.0,0.79,0.0,0.02,0.1,0.34,0.65,0.19,0.18,0.39,0.0,0.0,0.02,0.15,0.16,0.0,0.12
5,0.08,0.0,0.28,0.29,0.0,0.43,0.47,0.33,0.0,0.08,0.01,0.96,0.5,0.02,0.0,0.28,0.94,0.02,0.08,0.35,0.0,0.0,0.07,0.07,0.01,0.0,0.0
6,0.15,1.0,0.31,0.31,0.17,0.26,0.3,0.35,0.05,0.19,0.13,0.47,0.0,0.42,0.08,0.24,0.77,0.36,0.2,0.29,0.0,0.0,0.2,0.19,0.08,0.52,0.17
7,0.18,0.0,0.26,0.18,0.11,0.43,0.55,1.0,0.01,0.25,0.0,0.13,0.0,0.03,0.04,0.37,0.56,0.75,0.21,0.35,0.01,0.0,0.04,0.11,0.0,0.0,0.16
8,0.15,0.0,0.58,0.15,0.12,0.07,0.23,0.28,0.01,0.17,0.0,0.2,0.5,0.04,0.21,0.68,0.44,0.61,0.03,0.39,0.01,0.0,0.03,0.11,0.02,0.0,0.18
9,0.02,0.0,0.5,0.13,0.14,0.18,0.22,0.27,0.01,0.1,0.03,1.0,0.0,0.03,0.2,0.13,0.58,0.15,0.34,0.29,0.01,0.01,0.04,0.29,0.09,0.0,0.09
10,0.03,1.0,0.03,0.33,0.15,0.22,0.88,0.63,0.0,0.12,0.0,0.57,0.0,0.01,0.03,0.35,0.35,0.17,0.18,0.21,0.0,0.0,0.01,0.34,0.07,0.0,0.05
11,0.17,0.96,0.11,0.42,0.18,0.38,0.43,0.3,0.01,0.11,0.02,0.19,0.5,0.06,0.1,0.44,0.38,0.06,0.18,0.58,0.02,0.0,0.09,0.13,0.17,0.62,0.07
12,0.12,1.0,0.26,0.29,0.06,0.1,0.44,0.45,0.0,0.06,0.0,0.03,0.5,0.02,0.14,0.32,0.69,0.22,0.25,0.36,0.0,0.0,0.02,0.13,0.0,0.0,0.13
13,0.1,1.0,0.05,0.33,0.35,0.37,0.78,0.39,0.0,0.05,0.01,0.37,0.5,0.01,0.03,0.2,0.5,0.01,0.16,0.44,0.0,0.0,0.01,0.2,0.1,0.0,0.17
14,0.01,0.0,0.1,0.29,0.19,0.21,0.27,0.34,0.01,0.22,0.01,0.25,0.0,0.01,0.16,0.27,0.69,0.39,0.26,0.19,0.03,0.0,0.02,0.17,0.02,0.0,0.09
15,0.05,0.0,0.26,0.27,0.28,1.0,0.22,0.9,0.01,0.13,0.0,0.07,0.0,0.02,0.35,0.62,0.19,0.77,0.45,0.37,0.0,0.0,0.02,0.17,0.04,0.0,0.12
