,0
0,0.2
1,0.67
2,0.43
3,0.12
4,0.03
5,0.14
6,0.03
7,0.55
8,0.53
9,0.15
10,0.24
11,0.08
12,0.06
13,0.09
14,0.21
15,0.3
16,0.49
17,0.07
18,0.15
19,0.03
20,0.34
21,0.69
22,0.21
23,0.63
24,0.31
25,0.12
26,0.84
27,0.1
28,0.49
29,0.02
30,0.16
31,0.19
32,0.15
33,0.31
34,0.08
35,0.24
36,0.11
37,0.22
38,0.13
39,0.07
40,0.11
41,0.06
42,0.8
43,0.22
44,0.17
45,0.16
46,0.2
47,0.12
48,0.11
49,0.12
50,0.2
51,0.68
52,0.23
53,0.05
54,0.1
55,0.28
56,0.22
57,0.22
58,0.55
59,0.05
60,0.03
61,0.07
62,0.07
63,0.57
64,0.37
65,0.14
66,0.61
67,0.03
68,0.5
69,0.05
70,0.04
71,0.21
72,0.05
73,0.02
74,0.14
75,0.18
76,0.12
77,0.68
78,0.7
79,0.75
80,0.3
81,0.24
82,1.0
83,0.0
84,0.03
85,0.06
86,0.08
87,0.1
88,0.27
89,0.15
90,0.63
91,0.05
92,0.03
93,0.12
94,0.4
95,0.37
96,0.45
97,0.04
98,0.09
99,0.09
100,0.39
101,0.02
102,0.34
103,0.28
104,0.08
105,0.44
106,0.24
107,0.09
108,0.26
109,0.4
110,0.56
111,0.05
112,0.06
113,0.2
114,0.51
115,0.04
116,0.86
117,0.05
118,0.06
119,0.68
120,0.22
121,0.05
122,0.03
123,0.09
124,0.17
125,0.17
126,0.17
127,0.14
128,0.62
129,0.03
130,0.23
131,0.15
132,0.13
133,0.27
134,0.08
135,0.06
136,0.09
137,0.16
138,0.38
139,0.02
140,0.08
141,0.09
142,0.3
143,0.05
144,0.17
145,0.53
146,1.0
147,0.05
148,0.63
149,1.0
150,0.21
151,0.86
152,0.03
153,0.26
154,0.87
155,0.44
156,0.03
157,0.73
158,0.48
159,0.06
160,0.07
161,0.03
162,0.17
163,0.11
164,0.05
165,0.25
166,0.05
167,0.15
168,0.46
169,0.45
170,0.23
171,0.08
172,0.08
173,0.2
174,0.73
175,0.17
176,0.07
177,0.83
178,0.1
179,0.25
180,0.12
181,0.25
182,0.3
183,0.02
184,0.19
185,0.36
186,0.12
187,0.01
188,0.06
189,0.1
190,0.1
191,0.21
192,0.1
193,0.07
194,0.02
195,0.03
196,0.01
197,0.41
198,0.26
199,0.42
200,0.18
201,0.13
202,0.29
203,0.68
204,0.05
205,0.16
206,0.26
207,0.19
208,0.03
209,0.15
210,0.29
211,0.01
212,0.66
213,0.05
214,0.27
215,0.49
216,0.08
217,0.04
218,0.16
219,0.06
220,0.04
221,0.31
222,0.36
223,0.05
224,0.16
225,0.1
226,0.74
227,0.19
228,0.63
229,0.42
230,0.04
231,0.06
232,0.2
233,0.88
234,0.12
235,0.11
236,0.27
237,0.02
238,0.37
239,0.18
240,0.04
241,0.12
242,0.32
243,0.54
244,0.18
245,0.25
246,0.7
247,0.22
248,1.0
249,0.03
250,0.74
251,0.63
252,0.05
253,0.09
254,0.04
255,0.93
256,0.19
257,0.06
258,0.03
259,0.1
260,0.53
261,0.59
262,0.67
263,0.01
264,0.05
265,0.14
266,0.35
267,0.17
268,0.05
269,0.69
270,0.11
271,0.24
272,0.35
273,0.27
274,0.13
275,0.36
276,0.34
277,0.08
278,0.05
279,0.03
280,0.03
281,0.12
282,0.06
283,0.32
284,0.19
285,0.14
286,0.51
287,0.01
288,0.59
289,0.09
290,0.1
291,0.09
292,0.03
293,0.28
294,0.1
295,0.12
296,0.67
297,0.02
298,0.29
299,0.36
300,0.11
301,0.03
302,0.35
303,0.25
304,0.06
305,0.45
306,0.23
307,0.32
308,0.04
309,0.02
310,0.16
311,0.12
312,0.2
313,0.51
314,0.18
315,0.3
316,0.37
317,0.31
318,0.04
319,0.18
320,0.48
321,0.09
322,0.07
323,0.27
324,0.3
325,0.34
326,0.07
327,0.17
328,0.17
329,0.34
330,0.07
331,0.35
332,0.04
333,1.0
334,0.48
335,0.03
336,0.07
337,0.05
338,0.12
339,0.04
340,0.08
341,0.1
342,0.0
343,0.04
344,0.02
345,0.18
346,0.58
347,0.08
348,0.04
349,0.09
350,0.06
351,0.08
352,0.08
353,0.1
354,0.03
355,0.28
356,0.06
357,0.04
358,0.03
359,0.07
360,0.41
361,0.22
362,1.0
363,0.1
364,0.06
365,0.45
366,0.32
367,0.14
368,0.09
369,0.07
370,0.6
371,0.18
372,0.03
373,0.04
374,0.51
375,0.83
376,0.02
377,0.08
378,0.26
379,0.23
380,0.49
381,0.03
382,0.04
383,0.15
384,0.54
385,0.31
386,0.39
387,0.43
388,0.5
389,0.03
390,0.08
391,0.04
392,0.22
393,0.58
394,0.01
395,0.1
396,0.39
397,0.09
398,0.18
399,0.8
400,1.0
401,0.4
402,0.05
403,0.21
404,0.68
405,0.32
406,0.2
407,0.62
408,0.53
409,0.25
410,1.0
411,0.2
412,0.21
413,1.0
414,0.1
415,0.14
416,0.01
417,0.13
418,0.22
419,0.1
420,1.0
421,0.69
422,0.06
423,0.66
424,0.03
425,0.16
426,0.0
427,0.76
428,0.71
429,0.42
430,0.03
431,0.53
432,0.06
433,0.18
434,0.04
435,0.1
436,0.06
437,0.04
438,0.16
439,0.24
440,0.2
441,0.35
442,0.04
443,0.05
444,0.72
445,0.06
446,0.62
447,1.0
448,0.03
449,0.05
450,0.63
451,0.05
452,0.2
453,0.07
454,0.64
455,0.1
456,0.11
457,1.0
458,0.07
459,0.02
460,0.55
461,0.04
462,1.0
463,0.37
464,0.33
465,0.09
466,0.28
467,0.12
468,0.15
469,0.03
470,0.22
471,0.05
472,0.78
473,0.46
474,0.34
475,0.22
476,0.14
477,0.37
478,0.06
479,0.24
480,0.4
481,0.22
482,0.69
483,0.11
484,0.02
485,0.25
486,0.1
487,0.05
488,0.16
489,0.04
490,0.01
491,0.29
492,0.1
493,0.05
494,0.36
495,0.22
496,0.17
497,0.15
498,0.14
499,1.0
500,0.1
501,0.24
502,0.12
503,0.04
504,0.21
505,0.7
506,0.13
507,0.13
508,0.24
509,0.04
510,0.14
511,0.22
512,0.17
513,0.22
514,0.21
515,0.03
516,0.2
517,0.09
518,0.11
519,0.0
520,0.13
521,0.17
522,0.46
523,0.24
524,0.08
525,0.66
526,0.25
527,0.07
528,0.56
529,0.0
530,0.04
531,0.15
532,0.41
533,0.2
534,0.06
535,0.2
536,0.05
537,0.18
538,0.07
539,0.91
540,0.15
541,0.13
542,0.03
543,0.05
544,0.36
545,0.86
546,0.11
547,0.18
548,0.06
549,0.28
550,0.01
551,0.05
552,0.52
553,0.21
554,0.04
555,0.55
556,0.01
557,0.36
558,0.36
559,0.07
560,0.85
561,0.08
562,0.12
563,0.25
564,1.0
565,0.04
566,0.36
567,0.41
568,0.33
569,0.33
570,0.19
571,0.14
572,0.07
573,0.15
574,0.08
575,0.1
576,0.04
577,0.04
578,0.08
579,0.14
580,0.04
581,0.16
582,0.27
583,0.13
584,0.09
585,0.09
586,0.56
587,0.52
588,0.12
589,0.12
590,0.41
591,0.87
592,0.01
593,0.06
594,0.03
595,0.11
596,0.15
597,0.24
598,0.21
599,0.03
600,0.87
601,0.39
602,0.23
603,0.1
604,0.59
605,0.24
606,0.13
607,0.11
608,0.59
609,0.01
610,0.41
611,0.13
612,0.24
613,0.1
614,0.4
615,0.82
616,0.09
617,0.18
618,0.16
619,0.13
620,0.33
621,0.06
622,0.1
623,0.04
624,0.23
625,0.08
626,0.1
627,0.01
628,0.1
629,0.17
630,0.89
631,0.85
632,0.14
633,0.32
634,0.03
635,0.09
636,0.2
637,0.54
638,0.15
639,0.18
640,0.24
641,0.94
642,0.65
643,0.06
644,0.05
645,0.26
646,0.12
647,0.03
648,0.41
649,0.01
650,0.15
651,0.15
652,0.04
653,0.03
654,0.06
655,0.09
656,0.28
657,0.07
658,0.16
659,0.41
660,0.22
661,0.03
662,0.35
663,0.63
664,0.09
665,0.25
666,0.22
667,1.0
668,0.36
669,0.81
670,0.27
671,0.07
672,0.04
673,0.61
674,0.24
675,0.95
676,0.81
677,0.12
678,1.0
679,0.05
680,0.38
681,0.37
682,0.53
683,0.23
684,0.26
685,0.04
686,0.18
687,0.62
688,0.5
689,0.14
690,0.06
691,0.54
692,0.61
693,0.35
694,0.38
695,0.72
696,0.04
697,0.09
698,0.51
699,0.54
700,0.45
701,0.1
702,0.07
703,0.01
704,0.16
705,0.29
706,0.42
707,0.18
708,0.36
709,0.1
710,0.03
711,0.62
712,0.08
713,0.12
714,0.23
715,0.18
716,0.28
717,0.09
718,0.2
719,0.09
720,0.16
721,0.06
722,0.23
723,0.82
724,0.15
725,0.02
726,0.9
727,0.34
728,0.01
729,0.21
730,0.06
731,0.59
732,0.66
733,0.2
734,0.1
735,0.4
736,0.17
737,0.04
738,0.28
739,0.13
740,0.27
741,0.23
742,0.59
743,0.12
744,0.01
745,0.23
746,0.02
747,0.17
748,0.07
749,0.05
750,0.12
751,0.1
752,0.11
753,0.1
754,0.11
755,0.16
756,0.05
757,0.24
758,0.33
759,0.19
760,0.19
761,0.21
762,0.16
763,0.19
764,0.04
765,0.05
766,0.34
767,0.23
768,0.1
769,0.24
770,0.52
771,0.03
772,0.36
773,0.0
774,0.24
775,0.3
776,1.0
777,0.43
778,0.11
779,0.41
780,0.22
781,0.7
782,0.1
783,0.61
784,0.06
785,0.12
786,0.41
787,0.04
788,0.01
789,0.04
790,0.18
791,0.47
792,0.03
793,0.21
794,0.13
795,0.25
796,0.02
797,0.08
798,0.05
799,0.05
800,0.02
801,0.27
802,0.06
803,0.5
804,0.28
805,0.12
806,0.1
807,0.09
808,0.21
809,0.02
810,1.0
811,0.24
812,0.13
813,0.1
814,0.12
815,0.06
816,0.12
817,0.06
818,0.22
819,0.15
820,0.03
821,0.3
822,0.02
823,0.05
824,0.02
825,0.02
826,0.07
827,0.26
828,1.0
829,0.35
830,0.08
831,0.03
832,0.02
833,0.03
834,0.11
835,0.29
836,0.79
837,0.13
838,0.02
839,0.01
840,0.23
841,1.0
842,0.33
843,0.58
844,0.18
845,0.5
846,0.4
847,0.34
848,0.05
849,0.04
850,0.06
851,0.04
852,0.05
853,0.01
854,0.31
855,0.62
856,0.2
857,0.6
858,0.97
859,0.28
860,0.13
861,0.07
862,0.26
863,0.07
864,0.29
865,0.04
866,0.85
867,0.76
868,0.17
869,0.65
870,0.54
871,0.36
872,0.13
873,0.18
874,0.35
875,0.06
876,0.28
877,0.28
878,0.08
879,0.14
880,0.1
881,0.06
882,0.06
883,0.48
884,0.09
885,0.19
886,0.26
887,0.02
888,0.08
889,0.22
890,0.2
891,0.03
892,0.03
893,0.02
894,0.11
895,0.08
896,0.24
897,0.22
898,0.5
899,0.26
900,0.09
901,0.02
902,0.55
903,0.18
904,0.09
905,0.09
906,0.46
907,0.04
908,0.07
909,1.0
910,0.04
911,0.04
912,0.13
913,0.16
914,0.04
915,0.12
916,0.09
917,0.53
918,0.14
919,0.1
920,0.45
921,0.03
922,0.28
923,0.15
924,0.39
925,0.03
926,0.23
927,0.1
928,0.22
929,0.26
930,0.03
931,0.43
932,0.11
933,0.1
934,0.03
935,0.07
936,0.16
937,0.06
938,0.18
939,0.06
940,0.2
941,0.14
942,0.15
943,0.04
944,0.16
945,0.64
946,0.2
947,0.65
948,0.17
949,0.14
950,0.27
951,0.12
952,0.74
953,0.73
954,0.24
955,1.0
956,0.03
957,1.0
958,0.21
959,0.25
960,0.26
961,0.51
962,0.01
963,0.03
964,0.01
965,0.16
966,0.52
967,0.1
968,0.24
969,0.3
970,0.69
971,0.09
972,0.22
973,0.65
974,0.17
975,0.09
976,0.77
977,0.33
978,0.38
979,0.07
980,0.19
981,0.09
982,0.21
983,0.08
984,0.1
985,0.05
986,0.23
987,0.08
988,0.02
989,0.08
990,0.12
991,0.4
992,0.45
993,0.05
994,0.03
995,0.36
996,0.08
997,0.07
998,1.0
999,0.04
1000,0.06
1001,1.0
1002,0.2
1003,0.14
1004,0.48
1005,0.13
1006,0.67
1007,0.04
1008,0.49
1009,0.05
1010,0.02
1011,0.39
1012,0.29
1013,0.02
1014,0.25
1015,0.23
1016,0.01
1017,0.12
1018,0.1
1019,0.04
1020,0.14
1021,0.2
1022,0.13
1023,0.03
1024,0.11
1025,1.0
1026,0.28
1027,0.01
1028,0.24
1029,0.43
1030,0.2
1031,0.08
1032,0.04
1033,0.07
1034,0.05
1035,0.04
1036,0.02
1037,0.4
1038,0.16
1039,0.57
1040,0.2
1041,1.0
1042,0.02
1043,0.08
1044,1.0
1045,0.06
1046,0.07
1047,0.08
1048,0.05
1049,0.02
1050,0.13
1051,0.45
1052,0.44
1053,0.45
1054,0.39
1055,0.26
1056,1.0
1057,0.32
1058,0.3
1059,0.31
1060,0.27
1061,0.11
1062,0.07
1063,0.09
1064,0.26
1065,0.17
1066,0.07
1067,0.31
1068,0.07
1069,0.33
1070,0.15
1071,0.21
1072,0.1
1073,0.51
1074,0.17
1075,0.09
1076,0.03
1077,0.15
1078,0.17
1079,0.14
1080,0.03
1081,0.34
1082,0.05
1083,0.24
1084,0.07
1085,0.33
1086,0.09
1087,0.11
1088,0.1
1089,0.02
1090,0.25
1091,0.37
1092,0.07
1093,0.71
1094,0.18
1095,0.28
1096,0.44
1097,0.09
1098,0.19
1099,0.28
1100,0.03
1101,0.04
1102,0.32
1103,0.19
1104,0.16
1105,0.09
1106,0.05
1107,0.11
1108,0.36
1109,0.09
1110,0.03
1111,0.05
1112,0.05
1113,0.13
1114,0.05
1115,0.12
1116,0.47
1117,0.17
1118,0.17
1119,1.0
1120,0.2
1121,0.08
1122,0.09
1123,0.1
1124,0.03
1125,0.71
1126,0.17
1127,0.02
1128,0.2
1129,0.38
1130,0.09
1131,0.06
1132,0.05
1133,0.05
1134,1.0
1135,0.21
1136,0.29
1137,0.04
1138,0.12
1139,0.06
1140,0.21
1141,0.06
1142,0.51
1143,0.07
1144,0.21
1145,0.39
1146,0.66
1147,0.03
1148,0.06
1149,0.53
1150,0.08
1151,0.59
1152,0.12
1153,0.29
1154,1.0
1155,0.03
1156,0.29
1157,0.38
1158,0.06
1159,1.0
1160,0.3
1161,0.16
1162,0.29
1163,0.02
1164,0.19
1165,0.38
1166,0.31
1167,0.07
1168,0.11
1169,0.6
1170,0.54
1171,0.45
1172,0.22
1173,0.02
1174,0.0
1175,0.22
1176,0.13
1177,0.06
1178,0.11
1179,0.03
1180,0.69
1181,0.19
1182,0.69
1183,0.41
1184,0.08
1185,0.31
1186,0.08
1187,0.45
1188,0.2
1189,0.19
1190,0.03
1191,0.15
1192,0.54
1193,0.02
1194,0.1
1195,0.31
1196,0.65
1197,0.06
1198,0.02
1199,0.06
1200,0.82
1201,0.02
1202,0.14
1203,0.03
1204,0.4
1205,0.05
1206,0.12
1207,0.61
1208,1.0
1209,0.15
1210,0.09
1211,0.76
1212,0.02
1213,0.06
1214,0.03
1215,0.06
1216,0.2
1217,0.25
1218,0.07
1219,0.06
1220,0.19
1221,0.06
1222,0.16
1223,0.19
1224,0.14
1225,0.18
1226,0.11
1227,0.22
1228,0.03
1229,0.33
1230,0.0
1231,0.01
1232,0.37
1233,0.15
1234,0.04
1235,0.35
1236,0.1
1237,0.46
1238,0.04
1239,0.18
1240,0.4
1241,0.06
1242,0.01
1243,0.03
1244,0.52
1245,0.03
1246,0.27
1247,0.11
1248,0.03
1249,0.17
1250,0.47
1251,0.22
1252,0.06
1253,0.39
1254,0.12
1255,0.02
1256,0.26
1257,0.55
1258,0.21
1259,0.12
1260,0.1
1261,0.41
1262,0.84
1263,0.18
1264,0.04
1265,0.34
1266,0.07
1267,0.05
1268,0.02
1269,0.31
1270,0.97
1271,0.33
1272,0.12
1273,1.0
1274,0.96
1275,0.25
1276,0.03
1277,0.12
1278,0.14
1279,0.52
1280,0.05
1281,0.09
1282,0.14
1283,0.36
1284,0.04
1285,0.59
1286,0.49
1287,0.53
1288,0.06
1289,0.19
1290,0.28
1291,0.14
1292,0.9
1293,0.05
1294,0.15
1295,1.0
1296,0.21
1297,0.02
1298,0.07
1299,0.21
1300,0.21
1301,0.4
1302,0.04
1303,0.31
1304,0.2
1305,0.05
1306,0.54
1307,0.54
1308,0.11
1309,0.13
1310,0.42
1311,0.06
1312,0.7
1313,0.45
1314,0.15
1315,0.15
1316,0.12
1317,0.11
1318,0.03
1319,0.09
1320,0.3
1321,0.39
1322,0.05
1323,0.03
1324,0.22
1325,0.33
1326,0.83
1327,0.11
1328,0.07
1329,0.28
1330,0.02
1331,0.41
1332,0.12
1333,0.34
1334,0.07
1335,0.05
1336,0.12
1337,0.04
1338,0.3
1339,0.06
1340,0.09
1341,0.42
1342,0.02
1343,0.1
1344,0.07
1345,0.11
1346,0.03
1347,0.06
1348,0.03
1349,0.11
1350,0.52
1351,0.25
1352,0.11
1353,0.82
1354,0.14
1355,0.08
1356,0.02
1357,0.27
1358,0.15
1359,0.16
1360,0.47
1361,0.12
1362,0.26
1363,0.02
1364,1.0
1365,0.06
1366,0.31
1367,0.19
1368,0.06
1369,0.14
1370,0.35
1371,0.02
1372,0.36
1373,0.39
1374,0.12
1375,0.13
1376,0.57
1377,0.07
1378,0.59
1379,0.31
1380,0.34
1381,0.02
1382,0.47
1383,0.16
1384,0.15
1385,0.05
1386,0.15
1387,0.04
1388,0.12
1389,0.39
1390,0.18
1391,0.1
1392,0.86
1393,0.29
1394,0.07
1395,0.06
1396,0.2
1397,0.6
1398,0.14
1399,0.12
1400,0.04
1401,0.12
1402,0.36
1403,0.1
1404,0.27
1405,0.02
1406,0.01
1407,0.04
1408,0.03
1409,0.11
1410,0.26
1411,0.15
1412,0.08
1413,0.47
1414,0.1
1415,0.07
1416,0.15
1417,0.21
1418,0.13
1419,0.12
1420,0.59
1421,0.7
1422,0.03
1423,0.06
1424,0.1
1425,0.08
1426,0.11
1427,0.15
1428,0.51
1429,0.02
1430,0.06
1431,0.51
1432,0.58
1433,0.05
1434,0.05
1435,0.21
1436,0.65
1437,0.1
1438,0.23
1439,0.05
1440,0.13
1441,0.48
1442,0.06
1443,0.14
1444,0.54
1445,0.21
1446,0.25
1447,0.09
1448,0.04
1449,0.12
1450,0.44
1451,0.6
1452,0.34
1453,0.13
1454,0.15
1455,0.11
1456,0.32
1457,0.38
1458,0.12
1459,0.37
1460,0.08
1461,0.04
1462,0.0
1463,0.02
1464,0.03
1465,0.36
1466,0.25
1467,0.33
1468,0.04
1469,0.48
1470,0.13
1471,0.01
1472,0.29
1473,0.02
1474,0.03
1475,0.21
1476,0.12
1477,0.41
1478,0.06
1479,0.57
1480,0.37
1481,0.67
1482,0.11
1483,0.03
1484,0.1
1485,0.03
1486,0.81
1487,0.51
1488,0.09
1489,0.01
1490,0.03
1491,0.2
1492,0.3
1493,0.03
1494,0.23
1495,0.12
1496,0.11
1497,0.12
1498,0.06
1499,0.12
1500,0.04
1501,0.25
1502,0.76
1503,0.15
1504,0.14
1505,0.23
1506,0.55
1507,0.37
1508,0.61
1509,0.37
1510,0.14
1511,0.32
1512,0.35
1513,0.21
1514,0.37
1515,0.05
1516,0.03
1517,0.14
1518,0.34
1519,0.03
1520,0.03
1521,0.03
1522,0.04
1523,0.29
1524,0.93
1525,0.05
1526,0.26
1527,0.28
1528,0.22
1529,0.12
1530,0.13
1531,0.01
1532,0.49
1533,0.18
1534,0.25
1535,0.05
1536,0.53
1537,0.32
1538,0.36
1539,0.34
1540,0.18
1541,0.21
1542,0.22
1543,0.35
1544,0.75
1545,0.19
1546,0.05
1547,0.2
1548,0.08
1549,0.03
1550,0.03
1551,0.19
1552,0.03
1553,0.11
1554,0.78
1555,0.32
1556,0.37
1557,0.33
1558,0.19
1559,0.11
1560,0.29
1561,0.08
1562,0.1
1563,1.0
1564,0.24
1565,0.04
1566,0.27
1567,0.5
1568,0.06
1569,0.53
1570,0.53
1571,0.07
1572,0.11
1573,0.31
1574,0.34
1575,0.18
1576,0.14
1577,0.14
1578,0.03
1579,0.14
1580,0.45
1581,0.12
1582,0.66
1583,0.07
1584,0.26
1585,0.07
1586,0.06
1587,0.1
1588,0.04
1589,0.11
1590,0.29
1591,0.13
1592,0.11
1593,0.02
1594,0.24
1595,0.87
1596,0.14
1597,0.46
1598,0.25
1599,0.08
1600,0.04
1601,0.54
1602,0.09
1603,0.2
1604,0.02
1605,0.04
1606,0.1
1607,0.69
1608,0.13
1609,0.06
1610,0.91
1611,0.04
1612,0.81
1613,0.15
1614,0.07
1615,0.06
1616,0.02
1617,0.31
1618,0.03
1619,0.27
1620,0.11
1621,0.09
1622,0.01
1623,0.5
1624,0.32
1625,0.43
1626,0.3
1627,0.02
1628,0.38
1629,0.01
1630,0.02
1631,0.04
1632,0.3
1633,0.8
1634,0.03
1635,0.11
1636,0.9
1637,0.09
1638,0.17
1639,0.07
1640,0.79
1641,0.28
1642,0.02
1643,0.03
1644,0.15
1645,0.07
1646,0.08
1647,0.33
1648,0.05
1649,0.25
1650,0.09
1651,0.23
1652,0.06
1653,0.07
1654,0.08
1655,0.42
1656,0.0
1657,0.05
1658,0.05
1659,0.03
1660,0.06
1661,0.59
1662,0.33
1663,0.75
1664,0.43
1665,0.02
1666,0.09
1667,0.03
1668,0.07
1669,0.25
1670,0.48
1671,0.22
1672,0.04
1673,0.16
1674,0.11
1675,0.18
1676,0.28
1677,0.57
1678,0.39
1679,0.01
1680,0.14
1681,0.12
1682,0.06
