,0
0,0.69
1,0.33
2,0.03
3,0.04
4,0.01
5,0.13
6,0.26
7,0.06
8,0.2
9,0.48
10,0.3
11,0.15
12,0.45
13,0.07
14,0.45
15,0.15
16,0.1
17,0.04
18,0.14
19,0.14
20,0.09
21,0.22
22,0.21
23,0.54
24,0.16
25,0.12
26,0.19
27,0.11
28,0.21
29,0.09
30,0.11
31,0.5
32,0.27
33,0.35
34,0.06
35,0.55
36,0.38
37,0.06
38,0.42
39,0.94
40,0.46
41,1.0
42,0.06
43,0.03
44,0.41
45,0.14
46,0.04
47,0.03
48,0.22
49,0.16
50,0.58
51,0.16
52,0.49
53,0.01
54,0.14
55,0.2
56,0.15
57,0.12
58,0.06
59,0.02
60,0.01
61,0.2
62,0.13
63,0.08
64,0.54
65,0.03
66,0.04
67,0.03
68,0.06
69,0.1
70,0.08
71,0.52
72,1.0
73,0.28
74,0.8
75,0.09
76,0.19
77,0.14
78,0.2
79,0.04
80,0.2
81,0.23
82,0.67
83,0.06
84,0.65
85,0.19
86,0.04
87,0.73
88,0.07
89,0.01
90,0.02
91,0.42
92,0.29
93,0.06
94,0.19
95,0.18
96,0.02
97,0.14
98,0.12
99,0.02
100,0.12
101,1.0
102,0.73
103,0.03
104,0.08
105,0.25
106,0.17
107,0.1
108,0.09
109,0.3
110,0.27
111,0.16
112,0.04
113,0.1
114,0.03
115,0.09
116,0.36
117,0.23
118,0.35
119,0.51
120,0.19
121,0.12
122,0.09
123,0.07
124,0.05
125,0.56
126,0.22
127,0.09
128,0.2
129,0.1
130,0.33
131,0.03
132,0.44
133,0.05
134,0.36
135,0.02
136,0.24
137,0.1
138,0.06
139,0.69
140,0.21
141,0.09
142,0.02
143,0.03
144,0.35
145,0.08
146,0.25
147,0.02
148,0.08
149,0.25
150,0.04
151,0.19
152,0.14
153,0.14
154,0.1
155,0.05
156,0.11
157,0.33
158,0.1
159,0.02
160,0.09
161,0.11
162,0.14
163,0.06
164,0.39
165,0.13
166,0.06
167,0.36
168,0.04
169,0.06
170,1.0
171,0.53
172,0.14
173,0.02
174,0.04
175,0.07
176,0.15
177,0.11
178,0.11
179,0.08
180,0.18
181,0.59
182,0.15
183,0.12
184,0.21
185,0.22
186,0.12
187,0.16
188,0.45
189,0.07
190,0.12
191,0.47
192,0.36
193,0.2
194,0.53
195,0.27
196,0.52
197,0.52
198,0.57
199,0.09
200,0.02
201,0.04
202,0.24
203,0.07
204,0.32
205,1.0
206,0.22
207,0.03
208,0.04
209,0.06
210,0.22
211,0.12
212,0.33
213,0.18
214,0.03
215,1.0
216,1.0
217,0.26
218,0.07
219,0.41
220,0.12
221,0.02
222,0.82
223,1.0
224,0.2
225,0.54
226,0.07
227,0.4
228,0.23
229,0.08
230,0.2
231,0.05
232,0.26
233,0.12
234,0.37
235,0.19
236,0.01
237,0.04
238,0.03
239,0.02
240,0.14
241,0.05
242,0.02
243,0.02
244,0.16
245,0.36
246,0.18
247,0.03
248,0.37
249,0.27
250,0.08
251,0.43
252,0.11
253,0.22
254,0.08
255,0.14
256,0.0
257,0.13
258,0.09
259,0.13
260,0.03
261,0.12
262,0.08
263,0.17
264,0.55
265,0.1
266,0.06
267,0.13
268,0.12
269,0.27
270,1.0
271,0.25
272,0.32
273,0.02
274,0.11
275,0.34
276,1.0
277,0.16
278,0.33
279,0.03
280,0.12
281,0.15
282,0.23
283,0.05
284,0.23
285,0.56
286,0.72
287,0.13
288,0.04
289,0.12
290,0.07
291,0.03
292,0.17
293,0.05
294,0.25
295,0.54
296,0.11
297,0.01
298,0.13
299,0.01
300,0.06
301,0.69
302,0.21
303,1.0
304,0.51
305,0.11
306,0.32
307,0.3
308,0.15
309,0.08
310,0.2
311,0.14
312,0.12
313,0.28
314,0.1
315,0.53
316,0.22
317,0.51
318,0.48
319,0.2
320,0.14
321,0.02
322,0.03
323,0.04
324,0.47
325,0.07
326,0.1
327,0.24
328,0.04
329,0.6
330,0.7
331,0.27
332,0.05
333,0.0
334,0.66
335,0.22
336,0.19
337,0.37
338,0.04
339,0.31
340,0.15
341,0.05
342,0.01
343,0.53
344,0.09
345,0.23
346,0.16
347,0.17
348,0.21
349,0.1
350,0.12
351,0.29
352,0.27
353,0.56
354,0.54
355,0.28
356,0.22
357,0.22
358,0.02
359,0.97
360,0.04
361,0.07
362,0.87
363,0.17
364,0.18
365,0.13
366,0.14
367,0.41
368,0.02
369,0.07
370,0.08
371,0.06
372,0.78
373,0.01
374,0.15
375,0.3
376,0.24
377,0.19
378,0.05
379,0.22
380,0.14
381,1.0
382,0.11
383,0.09
384,0.06
385,0.01
386,0.01
387,0.11
388,0.0
389,0.35
390,0.04
391,0.57
392,0.06
393,0.01
394,0.28
395,0.06
396,0.03
397,0.06
398,0.34
399,0.3
